Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.014002	0.103366	0.336849	97.026064	90.591884	
0.013650	0.111119	0.329691	96.638072	90.711860	
0.013302	0.103372	0.287681	97.032064	91.851632	
0.012956	0.103230	0.299724	96.882067	91.571688	
0.012614	0.106368	0.299977	96.878067	91.811640	
0.012274	0.101430	0.311373	97.042064	91.451712	
0.011938	0.097056	0.306322	97.182061	91.631676	
0.011604	0.099458	0.289409	97.068063	91.961610	
0.011274	0.088793	0.338466	97.438055	90.911820	
0.010948	0.091592	0.375880	97.402056	89.882026	
0.010625	0.094015	0.302864	97.320058	91.881626	
0.010305	0.093259	0.283948	97.270059	91.771648	
0.009989	0.085372	0.348848	97.544053	90.481906	
0.009677	0.079196	0.291752	97.794048	91.871628	
0.009369	0.075866	0.312835	97.892046	91.541694	
0.009064	0.078564	0.322407	97.864047	91.511700	
0.008764	0.076611	0.277368	97.862046	92.591484	
0.008467	0.073262	0.322841	97.980044	91.701662	
0.008175	0.067699	0.380796	98.130041	90.151972	
0.007886	0.065808	0.274724	98.198040	92.991404	
0.007602	0.067286	0.284539	98.232039	92.681466	
0.007322	0.065996	0.325593	98.278038	91.751652	
0.007047	0.067586	0.306508	98.126041	92.071588	
0.006776	0.057731	0.365154	98.526033	90.741854	
0.006509	0.051968	0.307908	98.688029	92.091584	
0.006247	0.053393	0.303464	98.680029	92.101582	
0.005990	0.054474	0.309467	98.626031	92.321538	
0.005737	0.054357	0.267293	98.656030	93.211360	
0.005489	0.053187	0.280688	98.632030	93.111380	
0.005246	0.043761	0.322215	98.968023	91.941614	
0.005008	0.040095	0.263777	99.042022	93.551292	
0.004775	0.040620	0.290613	99.032022	92.941414	
0.004546	0.041696	0.279644	98.998023	93.141374	
0.004323	0.031342	0.264621	99.300016	93.491304	
0.004105	0.030533	0.266512	99.382014	93.511300	
0.003892	0.034652	0.265372	99.252017	93.611280	
0.003684	0.028022	0.252599	99.478012	93.611280	
0.003481	0.028253	0.256501	99.452013	93.711260	
0.003284	0.029329	0.268024	99.394014	93.561290	
0.003092	0.026578	0.247507	99.530011	94.271148	
0.002906	0.023250	0.244145	99.586010	94.471109	
0.002725	0.021891	0.245156	99.650008	94.361130	
0.002549	0.019463	0.249938	99.684008	94.451112	
0.002379	0.018575	0.260030	99.718007	94.221158	
0.002215	0.017341	0.239261	99.740006	94.621078	
0.002056	0.016269	0.243954	99.782005	94.621078	
0.001903	0.017083	0.243892	99.768006	94.271148	
0.001756	0.015596	0.239014	99.802005	94.751053	
0.001614	0.015832	0.247118	99.788005	94.311141	
0.001478	0.015563	0.239036	99.828004	94.421118	
0.001348	0.013652	0.241782	99.868003	94.881026	
0.001224	0.013450	0.235869	99.880003	94.811041	
0.001105	0.013833	0.246236	99.876003	94.511100	
0.000993	0.012879	0.246908	99.888003	94.741054	
0.000886	0.012183	0.243777	99.902002	94.771048	
0.000785	0.011519	0.239790	99.924002	94.851032	
0.000691	0.012046	0.238721	99.906002	94.801042	
0.000602	0.011684	0.235479	99.914002	94.931017	
0.000519	0.011617	0.237212	99.924002	94.981006	
0.000443	0.011679	0.235749	99.918002	94.941014	
0.000372	0.011238	0.236169	99.930002	94.971009	
0.000308	0.011409	0.237804	99.922002	95.030997	
0.000249	0.011225	0.236552	99.928002	94.871028	
0.000197	0.011193	0.240265	99.934002	94.771048	
0.000151	0.010721	0.236785	99.946001	94.851032	
0.000111	0.010666	0.233750	99.952001	94.901023	
0.000077	0.010545	0.236893	99.952001	95.030996	
0.000049	0.010795	0.242932	99.940001	94.951012	
0.000028	0.010933	0.243565	99.942001	94.801042	
0.000012	0.010462	0.242925	99.954001	94.791044	
0.000003	0.011574	0.239144	99.914002	94.811040	
